,City,Country,Temperature,Humidity,Cloudiness,Date,Wind Speed,Lat,Lng
0,Hithadhoo,MV,28.43,66,45,1603745129,3.3,-0.6,73.08
1,Jamestown,US,8.33,93,90,1603745129,3.1,42.1,-79.24
2,Albany,US,10.0,83,100,1603745081,0.45,42.6,-73.97
3,Presidencia Roque Sáenz Peña,AR,24.55,52,0,1603745130,3.65,-26.79,-60.44
4,Bredasdorp,ZA,18.0,82,100,1603745130,6.7,-34.53,20.04
5,Kyra,RU,-4.06,77,100,1603745130,1.3,49.58,111.98
6,Carnarvon,AU,20.0,82,0,1603745131,8.7,-24.87,113.63
7,Camacha,PT,19.0,68,40,1603745131,3.1,33.08,-16.33
8,Ulladulla,AU,12.22,100,75,1603745131,5.1,-35.35,150.47
9,Kapaa,US,29.0,70,40,1603744860,2.6,22.08,-159.32
10,Marsá Maţrūḩ,EG,23.0,69,20,1603745131,3.1,31.35,27.25
11,Busselton,AU,13.89,77,48,1603745132,4.17,-33.65,115.33
12,Avarua,CK,24.0,73,100,1603745090,6.7,-21.21,-159.78
13,Tual,ID,27.77,74,100,1603745132,3.3,-5.67,132.75
14,Hasaki,JP,11.0,93,75,1603745132,2.6,35.73,140.83
15,Cape Town,ZA,18.89,82,0,1603744960,3.1,-33.93,18.42
16,Punta Arenas,CL,12.0,40,20,1603744980,15.9,-53.15,-70.92
17,Husavik,IS,3.0,69,90,1603745133,2.6,66.04,-17.34
18,Oga,IT,3.89,83,75,1603745133,3.6,46.46,10.35
19,Dornoch,GB,9.44,87,75,1603745133,2.6,57.88,-4.03
20,Yeppoon,AU,21.0,94,85,1603745134,1.81,-23.13,150.73
21,Amapá,BR,32.12,41,96,1603745134,1.37,1.0,-52.0
22,Maniitsoq,GL,-2.25,88,1,1603744965,7.09,65.42,-52.9
23,Ushuaia,AR,11.0,62,40,1603744661,5.7,-54.8,-68.3
24,Turangi,NZ,15.59,63,94,1603745084,1.98,-39.0,175.93
25,Narsaq,GL,6.0,30,75,1603745134,6.7,60.92,-46.05
26,Qaanaaq,GL,-13.37,74,76,1603745135,4.27,77.48,-69.36
27,Hualmay,PE,20.16,71,98,1603745135,4.05,-11.1,-77.61
28,East London,ZA,18.87,87,100,1603745135,9.4,-33.02,27.91
29,Aykhal,RU,-22.0,91,0,1603745135,1.0,66.0,111.5
30,São Filipe,CV,27.24,75,100,1603745136,4.23,14.9,-24.5
31,Barrow,US,-7.0,85,90,1603745136,2.6,71.29,-156.79
32,Playas,EC,23.04,80,35,1603745136,7.74,-2.63,-80.38
33,Walvis Bay,NA,14.0,82,0,1603745137,3.1,-22.96,14.51
34,Atbasar,KZ,3.1,79,100,1603745138,9.57,51.8,68.33
35,Maţāy,EG,21.6,61,0,1603745138,4.18,28.42,30.78
36,Mar del Plata,AR,17.0,48,0,1603745091,4.6,-38.0,-57.56
37,Arraial do Cabo,BR,25.0,73,40,1603744979,3.6,-22.97,-42.03
38,Hermanus,ZA,17.22,85,85,1603745138,1.79,-34.42,19.23
39,Saint George,US,10.0,15,1,1603744981,11.3,37.1,-113.58
40,Butaritari,KI,27.53,66,100,1603745139,3.49,3.07,172.79
41,Mataura,NZ,11.11,81,95,1603745139,0.45,-46.19,168.86
42,Alamosa,US,-6.0,85,90,1603745139,3.6,37.47,-105.87
43,Torbay,CA,3.89,55,40,1603745139,3.6,47.67,-52.73
